userid	genesymbol	genename	entrezgene
NAT2	NAT2	N-acetyltransferase 2	10
ZGLP1	ZGLP1	zinc finger, GATA-like protein 1	100125288
C19orf71	C19orf71	chromosome 19 open reading frame 71	100128569
MKRN2OS	MKRN2OS	MKRN2 opposite strand	100129480
C17orf107	C17orf107	chromosome 17 open reading frame 107	100130311
C10orf142	C10orf142	chromosome 10 open reading frame 142	100130539
ZNF316	ZNF316	zinc finger protein 316	100131017
CD300LD	CD300LD	CD300 molecule like family member d	100131439
FAM196B	FAM196B	family with sequence similarity 196 member B	100131897
KRTAP4-9	KRTAP4-9	keratin associated protein 4-9	100132386
HDAC5	HDAC5	histone deacetylase 5	10014
FRAT1	FRAT1	FRAT1, WNT signaling pathway regulator	10023
PIGK	PIGK	phosphatidylinositol glycan anchor biosynthesis class K	10026
SMKR1	SMKR1	small lysine rich protein 1	100287482
KRTAP22-2	KRTAP22-2	keratin associated protein 22-2	100288287
MOXD2P	MOXD2P	monooxygenase, DBH-like 2, pseudogene	100289017
ZNF783	ZNF783	zinc finger family member 783	100289678
CHAF1A	CHAF1A	chromatin assembly factor 1 subunit A	10036
HMGXB4	HMGXB4	HMG-box containing 4	10042
SH2D3A	SH2D3A	SH2 domain containing 3A	10045
MTRNR2L5	MTRNR2L5	MT-RNR2-like 5	100463289
MTRNR2L8	MTRNR2L8	MT-RNR2-like 8	100463486
MTRNR2L10	MTRNR2L10	MT-RNR2-like 10	100463488
CST8	CST8	cystatin 8	10047
KRTAP16-1	KRTAP16-1	keratin associated protein 16-1	100505753
GJC1	GJC1	gap junction protein gamma 1	10052
KRTAP29-1	KRTAP29-1	keratin associated protein 29-1	100533177
CDH10	CDH10	cadherin 10	1008
FSBP	FSBP	fibrinogen silencer binding protein	100861412
ARPC3	ARPC3	actin related protein 2/3 complex subunit 3	10094
ACTR3	ACTR3	ARP3 actin related protein 3 homolog	10096
LINC00269	LINC00269	long intergenic non-protein coding RNA 269	100996279
PYURF	PYURF	PIGY upstream reading frame	100996939
NPIPA8	NPIPA8	nuclear pore complex interacting protein family member A8	101059953
PREB	PREB	prolactin regulatory element binding	10113
ARL4C	ARL4C	ADP ribosylation factor like GTPase 4C	10123
ZNF263	ZNF263	zinc finger protein 263	10127
OPTN	OPTN	optineurin	10133
LINC01587	LINC01587	long intergenic non-protein coding RNA 1587	10141
CNIH1	CNIH1	cornichon family AMPA receptor auxiliary protein 1	10175
FP248	FP248	Putative chemokine-related protein FP248	101930072
DHRS2	DHRS2	dehydrogenase/reductase 2	10202
CTDSPL	CTDSPL	CTD small phosphatase like	10217
DCAF7	DCAF7	DDB1 and CUL4 associated factor 7	10238
GPHN	GPHN	gephyrin	10243
RABEPK	RABEPK	Rab9 effector protein with kelch motifs	10244
CSAG2	CSAG2	CSAG family member 2	102723547
SMIM11B	SMIM11B	small integral membrane protein 11B	102723553
RTN3	RTN3	reticulon 3	10313
SMYD5	SMYD5	SMYD family member 5	10322
RRAGB	RRAGB	Ras related GTP binding B	10325
NPM2	NPM2	nucleophosmin/nucleoplasmin 2	10361
KLF2	KLF2	Kruppel like factor 2	10365
CACNG2	CACNG2	calcium voltage-gated channel auxiliary subunit gamma 2	10369
ADARB1	ADARB1	adenosine deaminase, RNA specific B1	104
MYCNOS	MYCNOS	MYCN opposite strand	10408
RAPGEF3	RAPGEF3	Rap guanine nucleotide exchange factor 3	10411
CDIPT	CDIPT	CDP-diacylglycerol--inositol 3-phosphatidyltransferase	10423
N4BP2L2	N4BP2L2	NEDD4 binding protein 2 like 2	10443
GPNMB	GPNMB	glycoprotein nmb	10457
TACC3	TACC3	transforming acidic coiled-coil containing protein 3	10460
EIF3M	EIF3M	eukaryotic translation initiation factor 3 subunit M	10480
LRRC41	LRRC41	leucine rich repeat containing 41	10489
IPO8	IPO8	importin 8	10526
CEBPE	CEBPE	CCAAT/enhancer binding protein epsilon	1053
CEL	CEL	carboxyl ester lipase	1056
RABAC1	RABAC1	Rab acceptor 1	10567
IFITM2	IFITM2	interferon induced transmembrane protein 2	10581
MAB21L2	MAB21L2	mab-21 like 2	10586
